from,to,weight
Platzeck,11,3
Pofalla,5,3
Pofalla,9,3
Praetorius,7,2
Tillich,9,3
Hasselfeldt,2,3
Hasselfeldt,10,3
Kampeter,2,3
Kampeter,9,3
Kapferer,2,3
Kapferer,13,2
Kempf,2,3
Nemat,5,3
Reiche,2,3
Reiche,9,3
Roestel,5,3
Roestel,6,3
Schweitzer,2,3
Schweitzer,5,3
Grothus,4,1
Wodtke,9,1
Wodtke,4,2
Herntier,1,2
Herntier,5,3
Kreuzberg,9,2
Kreuzberg,8,2
Priggen,12,2
Priggen,4,3
Vassiliadis,3,3
Vassiliadis,11,1
Scheidt,3,3
Scheidt,11,1
Scheidt,6,3
Koerzell,3,3
Koerzell,11,1
Kaiser,4,3
Weiger,4,3
Weiger,1,2
Niebert,4,3
Niebert,7,2
Allmendinger,7,3
Matthes,7,2
Schellnhuber,7,3
Schellnhuber,1,2
Niebuhr,7,2
Wehrspohn,7,3
Laemmel,9,3
Lenz,10,3
Miersch,11,3
